분류,세부항목,불량유형_연관,체크포인트,확인방법
Man,작업자 숙련도,표면결함 / 치수이탈,신규 작업자 투입 여부 / 교대 직후 불량 패턴,작업일지 및 불량 발생 시간대 교차 분석
Man,작업자 피로도,모든 불량,야간 교대 후 오전 불량률 비교,시간대별 불량 통계
Man,표준작업 준수,치수이탈 / 용량불량,SOP 이탈 체크리스트 확인,작업 감시 카메라 / 작업일지
Machine,소성로 온도 균일성,표면결함 / 용량불량,존별 온도 편차 ±5도 이내 확인,소성로 온도 데이터 로그
Machine,컨베이어 속도 안정성,치수이탈,속도 변동률 ±2% 이내 확인,컨베이어 속도 로그
Machine,믹서 교반 균일성,용량불량,RPM 안정성 / 교반날 마모 확인,모터 전류 로그 / 육안 점검
Machine,버너 화염 상태,표면결함,버너 화염 불균일 여부 확인,연소 데이터 로그
Machine,냉각 속도 제어,표면결함 / 치수이탈,냉각 구간 온도 프로파일 확인,온도 데이터 로그
Material,원료 입도 분포,표면결함 / 용량불량,D50 / D90 스펙 이내 확인,원료 입고 검사 성적서
Material,원료 수분 함량,치수이탈 / 용량불량,수분 0.5% 이하 확인,수분 측정기 성적서
Material,원료 순도,용량불량,불순물 Fe / Al 기준 이하 확인,XRF 분석 성적서
Material,원료 공급사 변경,모든 불량,배치 변경 또는 공급사 변경 여부 확인,원료 입고 이력
Method,소성 온도 프로파일,표면결함 / 용량불량,온도 프로파일 표준 대비 이탈 확인,소성 레시피 이력
Method,분위기 가스 농도,용량불량,N2 순도 99.9% 이상 확인,가스 분석기 데이터
Method,냉각 방법,표면결함,급냉 / 서냉 조건 준수 여부,공정 파라미터 로그
Method,소성 시간,용량불량,기준 소성 시간 ±15분 이내 확인,소성 타임 로그
