로트번호,생산일,제품유형,소성온도(C),소성시간(h),승온속도(C/min),압력(MPa),분위기가스,투입량(kg),불량유형,불량수량,총수량,불량률(%),불량등급
LOT-2024-001,2024-01-05,NCM811,920,12,3.0,0.10,Air,500,표면결함,15,500,3.0,경미
LOT-2024-002,2024-01-08,NCM811,935,12,3.0,0.10,Air,500,표면결함,8,500,1.6,경미
LOT-2024-003,2024-01-12,NCM622,880,10,2.5,0.08,Air,480,치수이탈,22,480,4.6,보통
LOT-2024-004,2024-01-15,NCM622,895,10,2.5,0.08,Air,480,치수이탈,5,480,1.0,경미
LOT-2024-005,2024-01-19,LFP,750,8,2.0,0.05,N2,450,용량불량,35,450,7.8,심각
LOT-2024-006,2024-01-22,LFP,760,8,2.0,0.05,N2,450,용량불량,12,450,2.7,경미
LOT-2024-007,2024-02-01,NCM811,925,12,3.0,0.10,Air,500,표면결함,18,500,3.6,보통
LOT-2024-008,2024-02-05,NCM811,940,12,3.5,0.10,Air,500,표면결함,42,500,8.4,심각
LOT-2024-009,2024-02-09,NCM622,885,10,2.5,0.08,Air,480,없음,3,480,0.6,정상
LOT-2024-010,2024-02-14,NCM622,890,10,2.5,0.08,Air,480,없음,2,480,0.4,정상
LOT-2024-011,2024-02-19,LFP,755,8,2.0,0.05,N2,450,용량불량,28,450,6.2,보통
LOT-2024-012,2024-02-23,LFP,765,9,2.0,0.05,N2,450,없음,4,450,0.9,정상
LOT-2024-013,2024-03-04,NCM811,920,11,3.0,0.10,Air,500,표면결함,11,500,2.2,경미
LOT-2024-014,2024-03-08,NCM811,930,12,3.0,0.10,Air,500,없음,3,500,0.6,정상
LOT-2024-015,2024-03-13,NCM622,875,10,2.0,0.08,Air,480,치수이탈,38,480,7.9,심각
LOT-2024-016,2024-03-17,NCM622,888,10,2.5,0.08,Air,480,없음,4,480,0.8,정상
LOT-2024-017,2024-03-22,NCM811,942,12,4.0,0.10,Air,500,표면결함,56,500,11.2,심각
LOT-2024-018,2024-03-26,NCM811,928,12,3.0,0.10,Air,500,없음,5,500,1.0,정상
LOT-2024-019,2024-04-02,LFP,748,8,2.0,0.04,N2,450,용량불량,45,450,10.0,심각
LOT-2024-020,2024-04-06,LFP,758,8,2.0,0.05,N2,450,없음,3,450,0.7,정상
LOT-2024-021,2024-04-10,NCM622,892,10,2.5,0.09,Air,480,없음,2,480,0.4,정상
LOT-2024-022,2024-04-15,NCM811,933,12,3.0,0.10,Air,500,없음,4,500,0.8,정상
LOT-2024-023,2024-04-19,NCM811,920,10,3.0,0.10,Air,500,용량불량,25,500,5.0,보통
LOT-2024-024,2024-04-24,NCM811,922,12,3.0,0.10,Air,500,없음,6,500,1.2,정상
LOT-2024-025,2024-04-29,LFP,762,8,2.0,0.05,N2,450,없음,2,450,0.4,정상
